salary_id,job_id,pay_period,currency,compensation_type,standardized_max_salary,standardized_min_salary,standardized_med_salary,currency_encoded,compensation_type_encoded
34238,3902344347,HOURLY,USD,BASE_SALARY,166400.0,83200.0,83200.0,5,0
34239,3902340705,YEARLY,USD,BASE_SALARY,255613.1251742856,195226.28436716762,195226.28436716762,5,0
34240,3902340711,HOURLY,USD,BASE_SALARY,52000.0,43680.0,52000.0,5,0
34241,3905824500,YEARLY,USD,BASE_SALARY,85000.0,75000.0,75000.0,5,0
34242,3905822531,HOURLY,USD,BASE_SALARY,66560.0,39520.0,63918.309907429066,5,0
34243,3904089481,YEARLY,USD,BASE_SALARY,150000.0,140000.0,140000.0,5,0
34244,3905822803,YEARLY,USD,BASE_SALARY,140000.0,110000.0,110000.0,5,0
34245,3905819948,HOURLY,USD,BASE_SALARY,43139.2,31200.0,43139.2,5,0
34246,3905830071,YEARLY,USD,BASE_SALARY,115000.0,95000.0,95000.0,5,0
34247,3902343431,YEARLY,USD,BASE_SALARY,110000.0,81000.0,81000.0,5,0
34248,3902340702,YEARLY,USD,BASE_SALARY,120000.0,110000.0,110000.0,5,0
34249,3905823748,YEARLY,USD,BASE_SALARY,60000.0,55000.0,60000.0,5,0
34250,3902344410,YEARLY,USD,BASE_SALARY,20.0,18.0,20.0,5,0
34251,3902344409,YEARLY,USD,BASE_SALARY,116300.0,84600.0,84600.0,5,0
34252,3902340659,HOURLY,USD,BASE_SALARY,124800.0,114400.0,114400.0,5,0
34253,3902343406,HOURLY,USD,BASE_SALARY,93600.0,83200.0,83200.0,5,0
34254,3905823404,YEARLY,USD,BASE_SALARY,95000.0,80000.0,80000.0,5,0
34255,3905824683,YEARLY,USD,BASE_SALARY,89000.0,62000.0,63918.309907429066,5,0
34256,3904091249,YEARLY,USD,BASE_SALARY,100000.0,90000.0,90000.0,5,0
34257,3902345381,YEARLY,USD,BASE_SALARY,120000.0,70000.0,70000.0,5,0
34258,3904086563,YEARLY,USD,BASE_SALARY,65000.0,50000.0,63918.309907429066,5,0
34259,3905830019,YEARLY,USD,BASE_SALARY,69000.0,55000.0,63918.309907429066,5,0
34260,3905825515,HOURLY,USD,BASE_SALARY,208000.0,145600.0,145600.0,5,0
34261,3902346420,YEARLY,USD,BASE_SALARY,80000.0,70000.0,70000.0,5,0
34262,3905828254,YEARLY,USD,BASE_SALARY,150000.0,60000.0,63918.309907429066,5,0
34263,3905819899,HOURLY,USD,BASE_SALARY,255613.1251742856,195226.28436716762,195226.28436716762,5,0
34264,3902346443,YEARLY,USD,BASE_SALARY,65000.0,60000.0,63918.309907429066,5,0
34265,3902342524,YEARLY,USD,BASE_SALARY,100000.0,80000.0,80000.0,5,0
34266,3902341709,YEARLY,USD,BASE_SALARY,200000.0,150000.0,150000.0,5,0
34267,3902346451,YEARLY,USD,BASE_SALARY,130000.0,70000.0,70000.0,5,0
34268,3902342545,HOURLY,USD,BASE_SALARY,52000.0,37440.0,52000.0,5,0
34269,3905823931,HOURLY,USD,BASE_SALARY,93600.0,83200.0,83200.0,5,0
34270,3905822969,YEARLY,USD,BASE_SALARY,80000.0,75000.0,75000.0,5,0
34271,3902344465,YEARLY,USD,BASE_SALARY,117000.0,67000.0,67000.0,5,0
34272,3902340773,HOURLY,USD,BASE_SALARY,76960.0,47840.0,63918.309907429066,5,0
34273,3902346474,HOURLY,USD,BASE_SALARY,83200.0,52000.0,63918.309907429066,5,0
34274,3902340779,HOURLY,USD,BASE_SALARY,255613.1251742856,195226.28436716762,195226.28436716762,5,0
34275,3905830192,YEARLY,USD,BASE_SALARY,70000.0,65000.0,65000.0,5,0
34276,3904088565,HOURLY,USD,BASE_SALARY,68348.8,68348.8,68348.8,5,0
34277,3905824785,HOURLY,USD,BASE_SALARY,67412.79999999999,67412.79999999999,67412.79999999999,5,0
34278,3905822964,HOURLY,USD,BASE_SALARY,67412.79999999999,67412.79999999999,67412.79999999999,5,0
34279,3904093242,YEARLY,USD,BASE_SALARY,65000.0,50000.0,63918.309907429066,5,0
34280,3902344373,HOURLY,USD,BASE_SALARY,99840.0,52000.0,63918.309907429066,5,0
34281,3902342596,YEARLY,USD,BASE_SALARY,117000.0,65000.0,65000.0,5,0
34282,3902344446,YEARLY,USD,BASE_SALARY,87400.0,63400.0,63918.309907429066,5,0
34283,3902341748,YEARLY,USD,BASE_SALARY,120000.0,60000.0,63918.309907429066,5,0
34284,3905830029,HOURLY,USD,BASE_SALARY,255613.1251742856,195226.28436716762,195226.28436716762,5,0
34285,3905827203,HOURLY,USD,BASE_SALARY,255613.1251742856,195226.28436716762,195226.28436716762,5,0
34286,3902346132,HOURLY,USD,BASE_SALARY,114400.0,93600.0,93600.0,5,0
34287,3904086620,YEARLY,USD,BASE_SALARY,90000.0,70000.0,70000.0,5,0
34288,3905822783,HOURLY,USD,BASE_SALARY,255613.1251742856,195226.28436716762,195226.28436716762,5,0
34289,3905824607,HOURLY,USD,BASE_SALARY,255613.1251742856,195226.28436716762,195226.28436716762,5,0
