company_id,employee_count,follower_count,time_recorded
21703,3278,16247,2024-04-11 18:00:44
612300,243,8603,2024-04-11 18:00:44
2144755,22,18027,2024-04-11 18:00:44
27664,3963,861638,2024-04-11 18:00:44
164906,4333,37124,2024-04-11 18:00:44
17954837,171,139608,2024-04-11 18:00:44
27247732,115,13240,2024-04-11 18:00:44
38204,17270,74992,2024-04-11 18:00:44
1457940,1103,2763,2024-04-11 18:00:44
79383535,23062,2003157,2024-04-11 18:00:44
1891806,97,10853,2024-04-11 18:00:44
11553420,1120,138116,2024-04-11 18:00:44
1556615,40,25960,2024-04-11 18:00:44
66296481,6,265,2024-04-11 18:00:44
9215489,94,214298,2024-04-11 18:00:44
21703,3281,16247,2024-04-11 18:00:44
1254572,205,12077,2024-04-11 18:00:44
2600261,88,5817,2024-04-11 18:00:44
8868,1736,24324,2024-04-11 18:00:44
92309,146,56787,2024-04-11 18:00:44
266132,90,52431,2024-04-11 18:00:44
75440441,15,13002,2024-04-11 18:00:44
76928217,63,1652,2024-04-11 18:00:44
3235175,61,1245,2024-04-11 18:00:44
139096,97,1205,2024-04-11 18:00:44
64442,470,8623,2024-04-11 18:00:44
79488871,261,68584,2024-04-11 18:00:44
534006,1367,29171,2024-04-11 18:00:44
18800181,14,5458,2024-04-11 18:00:44
40909933,43,482,2024-04-11 18:01:22
6592912,81,274098,2024-04-11 18:01:22
26518413,223,26704,2024-04-11 18:01:22
2788204,407,98570,2024-04-11 18:01:22
3525398,1154,23787,2024-04-11 18:01:22
94833098,10,404,2024-04-11 18:01:22
31537981,24432,761857,2024-04-11 18:01:22
2841,8627,169347,2024-04-11 18:01:22
210064,148569,3821026,2024-04-11 18:01:22
626382,18,3199,2024-04-11 18:01:22
11675,4467,62102,2024-04-11 18:01:22
381097,11,22709,2024-04-11 18:01:22
9588448,371,4250,2024-04-11 18:01:22
2631743,92,82619,2024-04-11 18:01:22
81527214,40629,407288,2024-04-11 18:01:22
1325982,109,10907,2024-04-11 18:01:22
1013591,45,2953,2024-04-11 18:01:22
3524548,173,2481,2024-04-11 18:01:22
2354894,13,881,2024-04-11 18:01:22
1116890,1191,19841,2024-04-11 18:01:22
10663129,27,19512,2024-04-11 18:01:22
670462,294,42463,2024-04-11 18:01:22
211857,5710,236428,2024-04-11 18:01:22
305763,221,8220,2024-04-11 18:01:22
18263887,529,6821,2024-04-11 18:01:22
7944952,25,6309,2024-04-11 18:01:22
77004300,7,145,2024-04-11 18:01:22
46648,496,421213,2024-04-11 18:01:22
1087408,115,394661,2024-04-11 18:03:13
2640689,10,2728,2024-04-11 18:03:13
100424216,1,73,2024-04-11 18:03:13
4852,50981,440077,2024-04-11 18:03:13
34697347,4,18,2024-04-11 18:03:13
4297,8413,30435,2024-04-11 18:03:13
4297,8410,30435,2024-04-11 18:03:13
2723935,388,5115,2024-04-11 18:03:13
93456,129,5458,2024-04-11 18:03:13
2130429,1071,26807,2024-04-11 18:03:13
2471868,1047,73207,2024-04-11 18:03:13
911461,641,107973,2024-04-11 18:03:13
40890912,19,112,2024-04-11 18:03:13
5218,11578,209732,2024-04-11 18:03:13
140801,140,1137,2024-04-11 18:03:13
14797007,19,17877,2024-04-11 18:03:13
22349600,1115,11760,2024-04-11 18:03:13
71303127,96,287312,2024-04-11 18:03:13
22456,2832,463934,2024-04-11 18:03:13
67131592,39,31776,2024-04-11 18:03:13
344868,36,3272,2024-04-11 18:03:13
1279135,338,49734,2024-04-11 18:03:13
6380749,59,48891,2024-04-11 18:03:13
1278517,138,5692,2024-04-11 18:03:13
4713,42774,569136,2024-04-11 18:03:13
220139,1974,75294,2024-04-11 18:03:13
6824982,527,29640,2024-04-11 18:03:13
10996500,8,466,2024-04-11 18:03:13
6915,6103,104156,2024-04-11 18:03:13
85658990,89,1093,2024-04-11 18:03:13
950751,28,456,2024-04-11 18:03:13
28646291,254,24595,2024-04-11 18:03:13
27788,968,12913,2024-04-11 18:03:13
427596,160,5109,2024-04-11 18:03:45
2756204,870,257437,2024-04-11 18:03:45
164182,27934,1297052,2024-04-11 18:03:45
92407,28,11986,2024-04-11 18:03:45
1293591,35,789,2024-04-11 18:03:45
87294,394,2334,2024-04-11 18:03:45
12953819,51,19132,2024-04-11 18:03:45
869909,19,950,2024-04-11 18:03:45
79760947,270,38151,2024-04-11 18:03:45
1971965,104,2590,2024-04-11 18:03:45
976529,535,29109,2024-04-11 18:03:45
4713,42797,569136,2024-04-11 18:03:45
157329,8727,129761,2024-04-11 18:03:45
90501737,221,2473,2024-04-11 18:03:45
8885116,10,379,2024-04-11 18:03:45
22349600,1113,11760,2024-04-11 18:03:45
15544,5966,228244,2024-04-11 18:03:45
10373623,32,17106,2024-04-11 18:05:27
534006,1366,29171,2024-04-11 18:05:27
25041466,3,638,2024-04-11 18:05:27
65294553,73,69788,2024-04-11 18:05:27
1739031,36004,3923007,2024-04-11 18:05:27
9292905,1,420,2024-04-11 18:05:27
1942275,16,1829,2024-04-11 18:05:27
61703492,79,947,2024-04-11 18:05:27
322686,111,2834,2024-04-11 18:05:27
6176,42810,289229,2024-04-11 18:05:27
254995,4631,20356,2024-04-11 18:05:27
6575603,109,209363,2024-04-11 18:05:27
75584764,48,8492,2024-04-11 18:05:27
18589676,80,2875,2024-04-11 18:05:27
46852,643,10331,2024-04-11 18:05:27
